               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.039177,            0.014234,            0.010792,             0.72307,             0.63766,             0.69246,             0.41991,            0.040022,              0.0158,            0.012757,          3.8348e-05,          3.8348e-05,          3.8348e-05
                  35,            0.038741,            0.014108,            0.010239,             0.75079,             0.62223,             0.69521,             0.42455,             0.03988,            0.015789,              0.0126,          3.5724e-05,          3.5724e-05,          3.5724e-05
                  36,             0.03837,            0.013971,           0.0098573,              0.7481,             0.62459,             0.69683,             0.42725,            0.039754,            0.015763,            0.012383,          3.3143e-05,          3.3143e-05,          3.3143e-05
                  37,            0.038012,            0.013876,           0.0095591,             0.75154,             0.63135,             0.70011,             0.42933,            0.039728,            0.015755,            0.012294,          3.0616e-05,          3.0616e-05,          3.0616e-05
                  38,            0.037536,            0.013675,           0.0091074,              0.7595,             0.62471,             0.70323,             0.43094,            0.039655,            0.015717,            0.012263,          2.8149e-05,          2.8149e-05,          2.8149e-05
                  39,            0.037099,            0.013591,           0.0085267,             0.74154,             0.63948,             0.70399,             0.43281,            0.039588,            0.015697,            0.012214,           2.575e-05,           2.575e-05,           2.575e-05
                  40,            0.036785,            0.013405,           0.0079584,             0.75297,             0.63499,             0.70384,             0.43491,            0.039529,            0.015693,             0.01216,          2.3426e-05,          2.3426e-05,          2.3426e-05
                  41,            0.036379,            0.013314,           0.0076665,             0.74239,             0.64303,              0.7047,             0.43544,            0.039458,            0.015693,            0.012137,          2.1184e-05,          2.1184e-05,          2.1184e-05
                  42,            0.036026,             0.01314,           0.0072391,             0.74834,              0.6405,             0.70605,             0.43709,            0.039449,            0.015684,            0.012165,          1.9032e-05,          1.9032e-05,          1.9032e-05
                  43,            0.035959,            0.013056,           0.0070704,             0.75995,              0.6339,             0.70651,              0.4383,            0.039431,            0.015686,            0.012233,          1.6975e-05,          1.6975e-05,          1.6975e-05
                  44,            0.035469,            0.012968,           0.0066864,             0.76175,              0.6348,             0.70809,             0.43946,            0.039412,            0.015697,            0.012219,          1.5019e-05,          1.5019e-05,          1.5019e-05
                  45,            0.035002,            0.012838,           0.0062247,             0.74966,             0.64368,             0.71013,             0.44057,            0.039414,            0.015706,            0.012217,          1.3172e-05,          1.3172e-05,          1.3172e-05
                  46,            0.035063,            0.012689,           0.0062051,             0.73228,             0.65781,             0.70981,             0.44085,            0.039396,            0.015718,            0.012248,          1.1438e-05,          1.1438e-05,          1.1438e-05
                  47,            0.034636,            0.012597,           0.0059234,             0.73656,             0.65793,             0.71128,             0.44076,            0.039381,            0.015723,            0.012236,           9.822e-06,           9.822e-06,           9.822e-06
                  48,            0.034492,            0.012531,           0.0057017,             0.75376,             0.64672,             0.71085,             0.44097,            0.039376,            0.015733,             0.01227,            8.33e-06,            8.33e-06,            8.33e-06
                  49,             0.03423,            0.012488,           0.0055459,             0.76986,             0.63735,             0.71022,              0.4408,            0.039392,            0.015747,              0.0123,           6.966e-06,           6.966e-06,           6.966e-06
                  50,            0.034047,             0.01238,           0.0054101,             0.76086,              0.6444,             0.71053,             0.44089,            0.039412,            0.015753,            0.012318,          5.7343e-06,          5.7343e-06,          5.7343e-06
                  51,            0.033725,            0.012328,           0.0051806,             0.75813,             0.64539,              0.7099,             0.44085,            0.039416,            0.015761,            0.012329,          4.6385e-06,          4.6385e-06,          4.6385e-06
                  52,            0.033624,            0.012286,           0.0050202,             0.76278,             0.64314,             0.71023,             0.44032,            0.039426,             0.01577,            0.012336,           3.682e-06,           3.682e-06,           3.682e-06
                  53,            0.033619,            0.012263,           0.0049986,             0.76591,             0.64042,             0.71059,             0.44051,            0.039432,            0.015775,             0.01234,          2.8677e-06,          2.8677e-06,          2.8677e-06
                  54,            0.033473,            0.012192,           0.0050041,             0.76959,             0.63782,             0.71049,             0.44082,             0.03944,            0.015781,            0.012341,          2.1981e-06,          2.1981e-06,          2.1981e-06
                  55,            0.033616,            0.012151,           0.0050679,             0.75201,             0.64927,             0.71068,             0.44125,            0.039447,            0.015791,            0.012351,          1.6751e-06,          1.6751e-06,          1.6751e-06
                  56,            0.033369,            0.012114,           0.0048685,             0.74949,             0.65088,             0.71037,             0.44151,            0.039458,            0.015799,            0.012364,          1.3004e-06,          1.3004e-06,          1.3004e-06
