Wall time,Step,Value
1651688460.539752,0,0.00581573648378253
1651688901.885502,1,0.03403361141681671
1651689343.109871,2,0.06448296457529068
1651689780.3873298,3,0.16691084206104279
1651690214.5253413,4,0.2262541949748993
1651690649.4632983,5,0.29006344079971313
1651691082.778475,6,0.36837339401245117
1651691516.0646496,7,0.3977467119693756
1651691948.2785125,8,0.4345875680446625
1651692381.875024,9,0.47165489196777344
1651692813.3902562,10,0.49645596742630005
1651693246.4468133,11,0.5278687477111816
1651693677.4219577,12,0.5465319752693176
1651694114.1010232,13,0.5554858446121216
1651694545.1186216,14,0.5892198085784912
1651694975.025842,15,0.6021469235420227
1651695406.387819,16,0.6113057732582092
1651695836.1980326,17,0.6209209561347961
1651696266.5339108,18,0.6253765225410461
1651696695.6315086,19,0.6405730843544006
1651697125.8841026,20,0.6566553115844727
1651697557.4376218,21,0.6592326164245605
1651697987.6479795,22,0.6678692102432251
1651698418.17844,23,0.678154706954956
1651698850.0886443,24,0.6785555481910706
1651699278.7086403,25,0.686073899269104
1651699708.8306487,26,0.688911497592926
1651700139.081691,27,0.6939364075660706
1651700566.5895972,28,0.6982298493385315
1651700995.956522,29,0.7057909965515137
1651701425.5524313,30,0.7074031829833984
1651701855.4991124,31,0.7088243365287781
1651702285.0608332,32,0.7141814827919006
1651702715.8622382,33,0.716985821723938
1651703147.6841197,34,0.7178111672401428
1651703580.8328898,35,0.7183912992477417
1651704011.9788306,36,0.7190054655075073
1651704442.6105392,37,0.7221986055374146
1651704872.417473,38,0.7211101651191711
1651705308.72559,39,0.7241532802581787
1651705736.2782307,40,0.7253051996231079
1651706165.3798666,41,0.7249470949172974
1651706591.1369765,42,0.7258569002151489
1651707019.4593618,43,0.7267901301383972
1651707447.6678622,44,0.7262130379676819
1651707874.921917,45,0.7255915403366089
1651708303.0488956,46,0.7265998125076294
1651708731.393269,47,0.7258692383766174
1651709159.136808,48,0.726007342338562
1651709661.7878242,49,0.7264888882637024
1651710206.8887753,50,0.7266778945922852
1651710669.9694963,51,0.7263861894607544
1651711095.1214128,52,0.7261888980865479
1651711535.3067107,53,0.7258985638618469
1651712070.2052894,54,0.7260501384735107
1651712540.4215293,55,0.7259029746055603
1651713039.8993042,56,0.7258105874061584
