Wall time,Step,Value
1651688460.5396552,0,0.0632232129573822
1651688901.88542,1,0.057563893496990204
1651689343.1097977,2,0.0521172471344471
1651689780.3872612,3,0.04770277068018913
1651690214.5252693,4,0.044049039483070374
1651690649.4632208,5,0.04063606634736061
1651691082.7784057,6,0.038026925176382065
1651691516.0645778,7,0.03536302223801613
1651691948.2784328,8,0.03393189236521721
1651692381.8749552,9,0.03196312487125397
1651692813.3901772,10,0.030353959649801254
1651693246.4467435,11,0.02943282015621662
1651693677.4218626,12,0.02803695760667324
1651694114.1009443,13,0.027045490220189095
1651694545.1185348,14,0.025923212990164757
1651694975.0257728,15,0.02495710365474224
1651695406.3877456,16,0.024541670456528664
1651695836.1979544,17,0.02362445369362831
1651696266.533839,18,0.022982541471719742
1651696695.6314363,19,0.02219374291598797
1651697125.8840325,20,0.021583426743745804
1651697557.4375515,21,0.020995385944843292
1651697987.647909,22,0.020665908232331276
1651698418.1783621,23,0.01962948404252529
1651698850.0885742,24,0.019129684194922447
1651699278.708571,25,0.01892801746726036
1651699708.8305116,26,0.01841719076037407
1651700139.0816147,27,0.017939196899533272
1651700566.5895264,28,0.017329977825284004
1651700995.9564455,29,0.01693190261721611
1651701425.5523539,30,0.016436465084552765
1651701855.499034,31,0.016184460371732712
1651702285.0607152,32,0.015422712080180645
1651702715.8621635,33,0.015183341689407825
1651703147.684048,34,0.014737795107066631
1651703580.8328137,35,0.014430729672312737
1651704011.9787536,36,0.014126535505056381
1651704442.6104681,37,0.013883961364626884
1651704872.4174001,38,0.013443425297737122
1651705308.725519,39,0.01328235398977995
1651705736.2781515,40,0.012749931775033474
1651706165.379792,41,0.012599963694810867
1651706591.1369028,42,0.012448472902178764
1651707019.45929,43,0.012259268201887608
1651707447.6677907,44,0.011987974867224693
1651707874.9218473,45,0.011717760935425758
1651708303.0488253,46,0.01155964843928814
1651708731.3931973,47,0.011514687910676003
1651709159.1367228,48,0.011333301663398743
1651709661.7877483,49,0.011121803894639015
1651710206.8886976,50,0.011129999533295631
1651710669.9694257,51,0.010952155105769634
1651711095.1213348,52,0.010865826159715652
1651711535.3066425,53,0.010789630934596062
1651712070.2050664,54,0.010656584985554218
1651712540.42144,55,0.010686035268008709
1651713039.899115,56,0.010676953941583633
