Wall time,Step,Value
1651659558.5428545,0,0.08316797763109207
1651660060.9549196,1,0.0745462030172348
1651660555.1660275,2,0.07058583945035934
1651661052.4066381,3,0.0675332099199295
1651661548.4759214,4,0.06447135657072067
1651662044.3885448,5,0.06234092265367508
1651662537.3388145,6,0.06029855087399483
1651663033.4022617,7,0.05855337902903557
1651663528.294896,8,0.05721154436469078
1651664028.3110318,9,0.05593963339924812
1651664522.6665163,10,0.054907239973545074
1651665019.813379,11,0.05393054336309433
1651665514.445469,12,0.05356299504637718
1651666009.0244443,13,0.052367594093084335
1651666504.7030334,14,0.05180659517645836
1651666999.4738681,15,0.0508907325565815
1651667495.0862248,16,0.05024406313896179
1651667986.6239088,17,0.04992160573601723
1651668479.0281882,18,0.04933285340666771
1651668970.0264843,19,0.048906728625297546
1651669465.490958,20,0.04831062629818916
1651669959.1951013,21,0.0480199009180069
1651670515.0707622,22,0.047246940433979034
1651671138.486416,23,0.04700616002082825
1651671827.6406925,24,0.046371664851903915
1651672381.6980147,25,0.04607319459319115
1651672912.7024245,26,0.04571836069226265
1651673469.72431,27,0.04517499729990959
1651673969.6879265,28,0.04500127583742142
1651674466.098721,29,0.044454339891672134
1651674964.4609246,30,0.044382818043231964
1651675463.5480754,31,0.04401698708534241
1651675960.7348232,32,0.04353342577815056
1651676457.937667,33,0.04341074451804161
1651676959.9887717,34,0.0429508276283741
1651677466.6578846,35,0.042454853653907776
1651677964.067575,36,0.0424264557659626
1651678462.3220189,37,0.04215952381491661
1651678959.7410312,38,0.0418904572725296
1651679458.568363,39,0.0417381152510643
1651679957.0554519,40,0.04135659337043762
1651680455.9544325,41,0.04089955985546112
1651680952.9032154,42,0.040861599147319794
1651681451.998114,43,0.04065607860684395
1651681953.8089805,44,0.04042178392410278
1651682457.211364,45,0.040222860872745514
1651682953.7970386,46,0.039926927536726
1651683449.6641598,47,0.040092699229717255
1651683941.1815445,48,0.03971968591213226
1651684432.9087594,49,0.03965669870376587
1651684992.5983381,50,0.03946392983198166
1651685525.2819867,51,0.039663344621658325
1651686026.5659356,52,0.03943374752998352
1651686517.1693735,53,0.03913329914212227
1651687009.909174,54,0.039233721792697906
1651687500.2927294,55,0.03910886496305466
1651687985.7771397,56,0.03925727680325508
