Wall time,Step,Value
1649071742.0927777,0,0.00011188173812115565
1649071802.37843,1,0.004892187193036079
1649071870.290987,2,0.00274768378585577
1649071929.5072758,3,0.03682535141706467
1649071990.2055876,4,0.03907725214958191
1649072050.1464682,5,0.044295504689216614
1649072110.033753,6,0.07014435529708862
1649072170.0483975,7,0.07604427635669708
1649072229.451413,8,0.09725379943847656
1649072289.0491261,9,0.11936617642641068
1649072349.4881227,10,0.13952825963497162
1649072409.160326,11,0.16681967675685883
1649072468.9965422,12,0.2000521570444107
1649072528.4434502,13,0.23623685538768768
1649072587.952134,14,0.28920841217041016
1649072647.2760983,15,0.17538093030452728
1649072705.8351886,16,0.2953515648841858
1649072764.333934,17,0.3267175555229187
1649072823.8733733,18,0.31945550441741943
1649072882.3579113,19,0.38303515315055847
1649072942.6312885,20,0.39426907896995544
1649073003.8925235,21,0.416211873292923
1649073063.5970957,22,0.4544162154197693
1649073124.330463,23,0.42947259545326233
1649073182.7266424,24,0.4363880157470703
1649073241.3969088,25,0.5020915865898132
1649073300.9342916,26,0.4758698344230652
1649073359.4224133,27,0.5242183208465576
1649073419.147232,28,0.5597228407859802
1649073479.9791963,29,0.5519859790802002
1649073538.357851,30,0.5555452108383179
1649073596.6612356,31,0.6167343258857727
1649073656.1780672,32,0.6253818273544312
1649073715.6709108,33,0.635332465171814
1649073779.6625638,34,0.6623606085777283
1649073839.3401005,35,0.6435407400131226
1649073899.2413578,36,0.6448267102241516
1649073957.7798297,37,0.6736321449279785
1649074017.5106974,38,0.6529176831245422
1649074076.003791,39,0.7353097796440125
1649074135.7428994,40,0.7225288152694702
1649074194.3916166,41,0.7279889583587646
1649074252.9855106,42,0.7542522549629211
1649074312.7362614,43,0.7096682190895081
1649074371.3288994,44,0.7357845902442932
1649074429.9972324,45,0.7375579476356506
1649074488.5408373,46,0.7608463764190674
1649074548.278727,47,0.7508217096328735
1649074606.9554646,48,0.7682390213012695
1649074665.5967522,49,0.7597657442092896
1649074724.2001948,50,0.7547983527183533
1649074782.6446924,51,0.780446469783783
1649074842.3271832,52,0.7576360702514648
1649074900.9568572,53,0.7596156001091003
1649074959.7124736,54,0.7788574695587158
1649075018.4467707,55,0.7910088300704956
1649075078.7367885,56,0.8074418902397156
1649075138.393995,57,0.7800090312957764
1649075197.9500377,58,0.7991101741790771
1649075257.1134229,59,0.7873984575271606
1649075315.8648627,60,0.8144577741622925
1649075374.6675172,61,0.8133032321929932
1649075436.1091332,62,0.7915342450141907
1649075494.4805617,63,0.851921796798706
1649075553.9485734,64,0.8061226010322571
1649075612.2750783,65,0.8366870880126953
1649075671.038652,66,0.8411147594451904
1649075729.3447354,67,0.8355473875999451
1649075787.8120065,68,0.8294878005981445
1649075846.3056765,69,0.8317043781280518
1649075904.719796,70,0.8407776355743408
1649075963.1379008,71,0.8206771612167358
1649076021.5830781,72,0.833886444568634
1649076079.9657958,73,0.8352241516113281
1649076139.7605994,74,0.8548500537872314
1649076199.2777913,75,0.8544490933418274
1649076258.898282,76,0.836057722568512
1649076317.5214841,77,0.8449926972389221
1649076376.3559237,78,0.8534595370292664
1649076434.8269978,79,0.8637615442276001
1649076494.214101,80,0.8432799577713013
1649076553.3948011,81,0.8616979122161865
1649076614.2054071,82,0.8555518984794617
1649076673.9461932,83,0.8507241606712341
1649076733.7612681,84,0.8607847094535828
1649076794.7078419,85,0.8333732485771179
1649076854.5156012,86,0.8468868136405945
1649076914.3066058,87,0.8465653657913208
1649076974.0718083,88,0.8538494110107422
1649077033.9075243,89,0.8663721680641174
1649077095.1648169,90,0.845454752445221
1649077154.9729245,91,0.8672413229942322
1649077214.7429087,92,0.841518223285675
1649077274.6572618,93,0.8612279295921326
1649077334.5168114,94,0.8676302433013916
1649077394.4228866,95,0.8721439242362976
1649077455.287797,96,0.869889497756958
1649077514.9638827,97,0.8686988353729248
1649077575.825663,98,0.8793920278549194
1649077635.625162,99,0.874669075012207
1649077695.3092947,100,0.873121440410614
1649077755.0054464,101,0.8724405765533447
1649077814.713275,102,0.8842085599899292
1649077875.8041828,103,0.8923259377479553
1649077936.839243,104,0.8669735193252563
1649077996.884925,105,0.8778867721557617
1649078056.7806823,106,0.8724671006202698
1649078116.624069,107,0.8774374127388
1649078176.5342805,108,0.8814308643341064
1649078236.3047345,109,0.8769373893737793
1649078295.974081,110,0.8862006068229675
1649078355.749899,111,0.8961995244026184
1649078420.0755985,112,0.8776240944862366
1649078479.5750365,113,0.8790105581283569
1649078539.5716343,114,0.8862009048461914
1649078599.3116083,115,0.8969095945358276
1649078660.2134948,116,0.8943702578544617
1649078720.0812552,117,0.887417197227478
1649078779.688691,118,0.8758512735366821
1649078839.501122,119,0.885536789894104
1649078899.3486152,120,0.885736882686615
1649078959.2917097,121,0.8811957836151123
1649079019.1572783,122,0.8817166090011597
1649079078.9926043,123,0.8783315420150757
1649079138.7758148,124,0.8936031460762024
1649079199.598067,125,0.887249231338501
1649079259.3836894,126,0.8943162560462952
1649079320.1807487,127,0.8997491598129272
1649079380.0120769,128,0.8968968987464905
1649079439.8841126,129,0.9009577631950378
1649079500.7149656,130,0.8902789950370789
1649079561.0701652,131,0.8882428407669067
1649079620.5788894,132,0.89463871717453
1649079681.1250618,133,0.8935644626617432
1649079740.5217085,134,0.8975920677185059
1649079799.9144187,135,0.8883651494979858
1649079859.3766658,136,0.8891718983650208
1649079919.0311203,137,0.8947812914848328
1649079978.4572837,138,0.8912129402160645
1649080037.938433,139,0.9033843278884888
1649080098.747295,140,0.8931862115859985
1649080158.4700627,141,0.8941078186035156
1649080218.18866,142,0.9075095653533936
1649080279.0718088,143,0.8911333084106445
1649080338.7893212,144,0.8887852430343628
1649080398.4737468,145,0.9043059349060059
1649080458.1215649,146,0.8999300003051758
1649080517.9054832,147,0.9007177352905273
1649080577.5190907,148,0.904549241065979
1649080637.1766906,149,0.9021750688552856
1649080697.1770425,150,0.9039367437362671
1649080756.7550035,151,0.9039279818534851
1649080816.5442147,152,0.9103763103485107
1649080881.8581963,153,0.9080309867858887
1649080941.272983,154,0.9033772349357605
1649081000.9453754,155,0.9062892198562622
1649081060.5496283,156,0.9047482013702393
1649081120.2473128,157,0.907747209072113
1649081179.922181,158,0.8996118903160095
1649081239.6514194,159,0.9055823087692261
1649081299.7785964,160,0.8968077898025513
1649081359.652051,161,0.8987323045730591
1649081419.5475447,162,0.9035268425941467
1649081479.3568075,163,0.9068385362625122
1649081539.5573483,164,0.9100770950317383
1649081599.5220447,165,0.9103593826293945
1649081659.346502,166,0.9049515128135681
1649081719.1822126,167,0.9084838032722473
1649081779.0376055,168,0.9048423767089844
1649081838.855927,169,0.9022901654243469
1649081898.7517889,170,0.9079173803329468
1649081958.5964105,171,0.9077967405319214
1649082018.3968325,172,0.9132969379425049
1649082079.6861413,173,0.9091466665267944
1649082139.5144527,174,0.9125336408615112
1649082199.349793,175,0.9132987856864929
1649082260.8496401,176,0.9152055978775024
1649082320.5939133,177,0.9127545952796936
1649082380.13233,178,0.9111613631248474
1649082440.2479901,179,0.9105594158172607
1649082500.36441,180,0.9070937037467957
1649082560.5836103,181,0.909977912902832
1649082620.5087855,182,0.90908282995224
1649082680.2856083,183,0.9072414040565491
1649082740.258673,184,0.9090046882629395
1649082800.3565958,185,0.9050047397613525
1649082860.218741,186,0.9052037596702576
1649082920.0141766,187,0.9049098491668701
1649082979.9889474,188,0.9046579003334045
1649083039.8624468,189,0.9063997864723206
1649083099.6719022,190,0.905544102191925
1649083159.5754719,191,0.9074245095252991
1649083219.381313,192,0.9056254029273987
1649083279.342842,193,0.9099296927452087
1649083339.1618264,194,0.9118713736534119
1649083398.9737659,195,0.9140963554382324
1649083459.9130056,196,0.906201958656311
1649083519.7820084,197,0.9080654382705688
1649083579.8441908,198,0.9102344512939453
1649083640.0642354,199,0.9088571667671204
1649083700.169604,200,0.9101897478103638
1649083760.231446,201,0.9110659956932068
1649083820.2160094,202,0.9142101407051086
1649083880.2545216,203,0.9187983870506287
1649083941.2978816,204,0.916810929775238
1649084001.287588,205,0.920111358165741
1649084061.4634106,206,0.9182496070861816
1649084122.2723508,207,0.921133279800415
1649084182.1229243,208,0.9208700656890869
1649084242.2742643,209,0.9175962209701538
1649084302.1335027,210,0.9169930815696716
1649084362.2098713,211,0.9179077744483948
1649084422.2679093,212,0.9165827631950378
1649084482.600275,213,0.9167864918708801
1649084542.7989616,214,0.914873480796814
1649084603.0487213,215,0.9165038466453552
1649084663.2903047,216,0.9149553775787354
1649084723.5558164,217,0.9168338775634766
1649084784.7908642,218,0.9173153638839722
1649084845.8761795,219,0.9165425896644592
1649084905.843259,220,0.916887640953064
1649084966.187702,221,0.9179216027259827
1649085026.2769697,222,0.9157222509384155
1649085086.7414546,223,0.9180124402046204
1649085147.03555,224,0.9210627675056458
1649085208.2659826,225,0.9197568893432617
1649085270.1122084,226,0.919188380241394
1649085330.596256,227,0.9189497232437134
1649085390.7913888,228,0.9187110066413879
1649085451.088966,229,0.9175357818603516
1649085511.4853857,230,0.9177911877632141
1649085571.8937554,231,0.9178060293197632
1649085631.9942393,232,0.9176722168922424
1649085692.18421,233,0.9180611371994019
1649085752.3425317,234,0.918133020401001
1649085812.325754,235,0.9175354838371277
1649085872.6201293,236,0.9164231419563293
1649085932.8340762,237,0.917910635471344
1649085992.9970517,238,0.9176068902015686
1649086053.2282348,239,0.9178403615951538
1649086113.0510433,240,0.9186458587646484
1649086172.9705675,241,0.9184774160385132
1649086233.1998417,242,0.9197735786437988
1649086293.3147678,243,0.9201290607452393
1649086354.579266,244,0.920846700668335
1649086414.7936208,245,0.9205297231674194
1649086476.127536,246,0.9198358654975891
1649086536.098557,247,0.9191165566444397
1649086596.1755621,248,0.9183011054992676
1649086656.524585,249,0.919935405254364
1649086716.5859082,250,0.9205697178840637
1649086776.942458,251,0.9192251563072205
1649086837.319279,252,0.9202988743782043
1649086897.5290885,253,0.9205726981163025
1649086957.6469767,254,0.9199761152267456
1649087017.911885,255,0.9195167422294617
1649087078.2950504,256,0.9191355109214783
1649087138.6135085,257,0.9184529185295105
1649087198.5984087,258,0.9186445474624634
1649087258.9573758,259,0.9191749095916748
1649087319.467087,260,0.9195245504379272
1649087379.720354,261,0.9195147752761841
1649087439.9141378,262,0.9201871752738953
1649087500.146787,263,0.9201452732086182
1649087560.5409243,264,0.9211850166320801
1649087620.8510056,265,0.9198923707008362
1649087681.0006077,266,0.9207003712654114
1649087742.3277311,267,0.9217368960380554
1649087802.472976,268,0.9212315678596497
1649087864.5064647,269,0.9207451343536377
1649087924.7024443,270,0.9211668968200684
1649087984.7688255,271,0.9205856919288635
1649088044.9782262,272,0.9213161468505859
1649088105.1575058,273,0.9201284050941467
1649088165.3020914,274,0.9196943640708923
1649088225.4117308,275,0.9197708368301392
1649088285.457261,276,0.9192814826965332
1649088345.7101383,277,0.9184932112693787
1649088405.8246903,278,0.9186179637908936
1649088465.9299912,279,0.9181777834892273
1649088526.1538455,280,0.918333888053894
1649088586.3799415,281,0.9185466766357422
1649088646.5770013,282,0.9180247783660889
1649088706.6725256,283,0.9177635312080383
1649088766.8155546,284,0.9176802635192871
1649088826.955153,285,0.917389452457428
1649088887.1285112,286,0.9173278212547302
1649088947.565519,287,0.9169754981994629
1649089007.7630098,288,0.9172042608261108
1649089067.87912,289,0.9177625775337219
1649089127.9964004,290,0.9179973006248474
1649089188.064644,291,0.9174196124076843
1649089248.1285467,292,0.9184085130691528
1649089308.2940598,293,0.9182681441307068
1649089368.4518826,294,0.9178624749183655
1649089428.4658778,295,0.9180707335472107
1649089488.5976956,296,0.9188109040260315
1649089548.9689045,297,0.9185051321983337
1649089609.2019513,298,0.9189063906669617
1649089669.3341331,299,0.9190247058868408
1649089730.1439095,300,0.9188804030418396
1649089790.590198,301,0.919075608253479
1649089850.7124302,302,0.9190175533294678
1649089910.9268594,303,0.9199633598327637
1649089970.9313622,304,0.9202374815940857
1649090031.070877,305,0.9205151796340942
1649090092.0937355,306,0.9205183386802673
1649090155.5315554,307,0.9203152060508728
1649090215.8108623,308,0.9204559922218323
1649090276.0502002,309,0.9208205938339233
1649090337.328778,310,0.9211490750312805
1649090398.879113,311,0.9214157462120056
1649090460.0748496,312,0.921356201171875
1649090520.1339753,313,0.9211355447769165
1649090580.3115747,314,0.921135663986206
1649090641.6620083,315,0.9212809205055237
1649090701.9015527,316,0.9213250875473022
1649090762.1110556,317,0.9211870431900024
1649090822.3080494,318,0.9210860133171082
1649090882.3985136,319,0.9212658405303955
1649090942.4145868,320,0.9213605523109436
1649091002.4760308,321,0.9208978414535522
1649091062.636963,322,0.9208881258964539
1649091122.9898355,323,0.9209257960319519
1649091183.4205623,324,0.9205729365348816
1649091243.72733,325,0.9206079244613647
1649091303.824206,326,0.920278012752533
1649091364.019495,327,0.9202345609664917
1649091424.319578,328,0.9203072190284729
1649091484.475862,329,0.9204680919647217
1649091544.5387502,330,0.9204478859901428
1649091604.6572905,331,0.9206697344779968
1649091664.88059,332,0.9205487966537476
1649091724.9601958,333,0.9206266403198242
