               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.036505,            0.028016,            0.013759,             0.74841,             0.69226,             0.74177,              0.4754,             0.03753,            0.015152,            0.010018,          3.8348e-05,          3.8348e-05,          3.8348e-05
                  35,            0.036183,            0.027759,            0.013274,             0.76156,              0.6789,             0.74077,             0.47653,            0.037448,            0.015142,            0.009976,          3.5724e-05,          3.5724e-05,          3.5724e-05
                  36,            0.035993,             0.02777,            0.013036,             0.75774,             0.68347,             0.74096,             0.47846,            0.037404,            0.015143,            0.010027,          3.3143e-05,          3.3143e-05,          3.3143e-05
                  37,            0.035609,            0.027564,            0.012543,             0.73805,             0.70296,             0.74408,             0.48019,            0.037326,            0.015094,           0.0099768,          3.0616e-05,          3.0616e-05,          3.0616e-05
                  38,            0.035249,            0.026946,            0.012185,             0.74526,             0.69707,             0.74537,             0.48226,            0.037318,            0.015109,             0.00992,          2.8149e-05,          2.8149e-05,          2.8149e-05
                  39,            0.035257,            0.027121,            0.012031,             0.77131,             0.68196,             0.74586,             0.48339,            0.037269,            0.015113,            0.009871,           2.575e-05,           2.575e-05,           2.575e-05
                  40,            0.034732,            0.026851,            0.011786,             0.77621,             0.67882,             0.74447,             0.48338,            0.037255,            0.015132,           0.0099102,          2.3426e-05,          2.3426e-05,          2.3426e-05
                  41,            0.034426,            0.026612,            0.011356,             0.77448,             0.68448,             0.74415,             0.48513,            0.037261,            0.015119,           0.0099471,          2.1184e-05,          2.1184e-05,          2.1184e-05
                  42,            0.034294,            0.026445,            0.011103,             0.76076,             0.69336,             0.74489,             0.48538,            0.037215,            0.015118,            0.010032,          1.9032e-05,          1.9032e-05,          1.9032e-05
                  43,            0.034089,            0.026341,            0.010903,              0.7765,             0.68163,             0.74435,             0.48523,            0.037206,            0.015126,            0.010069,          1.6975e-05,          1.6975e-05,          1.6975e-05
                  44,            0.033807,            0.026025,            0.010747,             0.77524,             0.68544,             0.74575,             0.48654,            0.037181,            0.015137,            0.010035,          1.5019e-05,          1.5019e-05,          1.5019e-05
                  45,            0.033687,             0.02591,            0.010539,             0.77435,             0.68954,               0.747,             0.48711,             0.03716,            0.015152,           0.0099879,          1.3172e-05,          1.3172e-05,          1.3172e-05
                  46,             0.03341,            0.025924,            0.010408,             0.79188,             0.67499,             0.74629,             0.48583,            0.037158,            0.015173,            0.010063,          1.1438e-05,          1.1438e-05,          1.1438e-05
                  47,            0.033367,            0.025794,            0.010328,             0.77954,             0.68276,             0.74575,             0.48622,            0.037159,            0.015183,            0.010099,           9.822e-06,           9.822e-06,           9.822e-06
                  48,            0.033145,            0.025439,           0.0099241,             0.76524,             0.69194,             0.74486,              0.4864,            0.037162,            0.015196,            0.010129,            8.33e-06,            8.33e-06,            8.33e-06
                  49,            0.033071,            0.025765,           0.0099305,             0.77307,             0.68678,             0.74434,             0.48666,            0.037173,             0.01521,            0.010134,           6.966e-06,           6.966e-06,           6.966e-06
                  50,            0.032863,            0.025213,           0.0098438,             0.78315,             0.67792,             0.74342,               0.486,            0.037175,            0.015221,            0.010152,          5.7343e-06,          5.7343e-06,          5.7343e-06
                  51,              0.0327,            0.025558,           0.0096152,             0.78601,             0.67587,             0.74341,             0.48599,            0.037179,            0.015235,            0.010174,          4.6385e-06,          4.6385e-06,          4.6385e-06
                  52,             0.03273,            0.025072,           0.0096415,               0.785,             0.67735,             0.74301,              0.4863,             0.03719,            0.015245,            0.010194,           3.682e-06,           3.682e-06,           3.682e-06
                  53,            0.032594,            0.025127,           0.0095684,             0.77512,             0.68376,             0.74284,              0.4864,            0.037195,            0.015253,            0.010196,          2.8677e-06,          2.8677e-06,          2.8677e-06
                  54,            0.032629,            0.025228,           0.0095944,             0.78371,             0.67674,             0.74263,             0.48617,            0.037203,            0.015262,            0.010197,          2.1981e-06,          2.1981e-06,          2.1981e-06
                  55,            0.032503,            0.025166,           0.0094355,             0.78131,             0.67785,             0.74255,             0.48643,            0.037212,            0.015271,            0.010201,          1.6751e-06,          1.6751e-06,          1.6751e-06
                  56,             0.03251,            0.024906,           0.0095326,             0.78131,             0.67769,             0.74216,             0.48613,            0.037221,            0.015277,            0.010209,          1.3004e-06,          1.3004e-06,          1.3004e-06
